"rank","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)","Developer(s)","Publisher(s)"
"806","Secret Ponchos","Oct 13, 2015","$14.99","39% (76%)","48,194 ±6,442","39,862 ±5,859","02:59 (01:52)","Switchblade Monkeys Entertainment","Switchblade Monkeys Entertainment"
"343","Survival Zombies The Inverted Evolution","May 8, 2017","$4.99","17% (61%)","47,969 ±6,427","28,376 ±4,943","03:21 (01:57)","Racing Bros","ANPA.US"
"927","Into The War","Dec 2, 2015","Free","N/A (N/A)","47,969 ±6,427","15,089 ±3,604","00:48 (00:04)","Small Town Studios","Small Town Studios"
"251","Ways of History","Sep 1, 2017","Free","8% (49%)","47,519 ±6,397","32,430 ±5,284","13:51 (00:36)","Glyph Worlds","Glyph Worlds"
"306","Sorcerer King","Jul 16, 2015","$9.99","26% (68%/75%)","47,519 ±6,397","36,484 ±5,605","21:13 (06:46)","Stardock Entertainment","Stardock Entertainment"
"985","Onikira - Demon Killer","Aug 27, 2015","$13.99","5% (42%)","47,519 ±6,397","26,800 ±4,804","02:10 (01:16)","Digital Furnace Games","Merge Games, Headup Games"
"813","Otherland MMO","Sep 12, 2016","Free","3% (36%)","47,293 ±6,382","20,944 ±4,247","03:18 (00:27)","Drago Entertainment","otherland co-production GmbH"
"874","Soul Axiom","Feb 29, 2016","$19.99","23% (66%/57%)","47,068 ±6,366","15,990 ±3,711","06:53 (07:50)","Wales Interactive","Wales Interactive"
"224","White Noise 2","Apr 7, 2017","$9.99","59% (85%)","46,167 ±6,305","40,537 ±5,908","07:00 (01:45)","Milkstone Studios","Milkstone Studios"
"283","European Ship Simulator","Nov 4, 2016","$19.99","4% (38%)","45,942 ±6,290","39,862 ±5,859","04:28 (01:42)","Excalibur","Excalibur Games"
"943","Forge Quest","May 29, 2015","$9.99","59% (85%)","45,942 ±6,290","41,889 ±6,006","06:45 (03:37)","",""
"473","March of War: FaceOff - XL","Nov 18, 2015","Free","N/A (N/A)","45,267 ±6,243","22,521 ±4,404","01:51 (00:43)","ISOTX","ISOTX"
"392","World Ship Simulator","Nov 4, 2016","$19.99","1% (21%)","44,591 ±6,197","16,891 ±3,814","00:46 (00:17)","Odin Game Studio","Excalibur Games"
"256","Paper Dungeons","Apr 20, 2015","$9.99","N/A (N/A)","44,141 ±6,165","31,529 ±5,210","05:16 (05:28)","Stephane Valverde, Leslie Valverde","Agent Mega"
"149","Galaxy Admirals","Jan 17, 2017","$1.99","54% (83%)","43,915 ±6,149","34,006 ±5,411","03:54 (04:22)","Jetdogs Studios","Jetdogs Studios"
"298","Windlands","Apr 5, 2016","$19.99","37% (75%)","43,915 ±6,149","37,835 ±5,708","02:41 (01:20)","Psytec Games Ltd","Psytec Games Ltd"
"452","DED","Mar 3, 2017","Free","45% (79%)","43,915 ±6,149","33,105 ±5,339","00:16 (00:08)","L. Stotch, Vladimir Soldatov","L. Stotch, Vladimir Soldatov"
"547","Overruled!","Sep 15, 2015","$12.99","N/A (N/A)","43,690 ±6,134","11,711 ±3,175","01:49 (01:09)","Dlala Studios","Team17 Digital Ltd"
"102","Automobilista","Aug 24, 2016","$29.99","51% (82%)","42,339 ±6,038","35,808 ±5,553","38:27 (07:16)","Reiza Studios","Reiza"
"187","Voxel Warfare Online","Apr 19, 2016","$4.99","15% (58%)","41,889 ±6,006","33,781 ±5,393","02:22 (03:04)","Firehawk Studios, Rakarnov Studios","Serdar Ateş"
"565","Kona","Mar 17, 2017","$19.99","62% (86%/73%)","41,889 ±6,006","35,358 ±5,518","04:31 (03:13)","Parabole","Parabole"
"226","Double Cubes","Jan 18, 2017","$4.99","N/A (N/A)","41,663 ±5,990","35,808 ±5,553","04:52 (04:31)","Nova Dimension, Recreat4","Nova Dimension"
"260","Executive Assault","Jul 17, 2015","$12.99","65% (87%)","41,663 ±5,990","38,510 ±5,759","06:13 (03:43)","Hesketh Studios","Hesketh Studios"
"200","Riff Racer - Race Your Music!","May 12, 2016","$9.99","62% (86%)","41,213 ±5,957","30,628 ±5,136","07:52 (04:10)","FOAM Entertainment","FOAM Entertainment"
"938","Ninja Stealth","Sep 29, 2016","$0.99","30% (71%)","40,988 ±5,941","25,899 ±4,722","04:49 (04:14)","SC Jogos","SC Jogos"
"628","Gladiator Trainer","Nov 25, 2016","$1.99","28% (70%)","40,312 ±5,892","26,124 ±4,743","03:54 (03:02)","Pilgrim Adventures","Red Dahlia"
"792","Better Late Than DEAD","Mar 3, 2016","$14.99","3% (34%)","40,087 ±5,875","21,395 ±4,292","02:00 (00:29)","Odin Game Studio","Excalibur Games"
"241","Crispy Chicken","Apr 18, 2017","$4.99","7% (47%)","39,862 ±5,859","28,827 ±4,982","04:01 (03:03)","Axyos Games","Axyos Games"
"189","Caves of Qud","Jul 15, 2015","$9.99","97% (97%)","39,636 ±5,842","36,258 ±5,588","22:05 (04:14)","Freehold Games","Freehold Games"
"361","Eleven: Table Tennis VR","Sep 22, 2016","$19.99","92% (95%)","39,636 ±5,842","35,808 ±5,553","03:10 (01:22)","For Fun Labs","For Fun Labs"
"418","Vector Thrust","Jul 2, 2015","$24.99","15% (59%/57%)","39,411 ±5,826","22,971 ±4,447","05:02 (02:29)","TimeSymmetry","Iceberg Interactive"
"148","Shadow Blade: Reload","Aug 10, 2015","$14.99","68% (88%/70%)","39,186 ±5,809","18,467 ±3,988","02:49 (02:11)","Dead Mage","Digital Dragon"
"477","Abrix for kids","Aug 12, 2016","$4.99","N/A (N/A)","38,510 ±5,759","30,178 ±5,098","03:16 (02:50)","EJRGames","EJRGames"
"563","Dispatcher","Nov 12, 2015","$4.99","9% (50%)","37,610 ±5,691","29,052 ±5,002","02:06 (01:18)","CivilSavages","CivilSavages"
"235","CRYPTARK","Jun 20, 2017","$14.99","68% (88%/80%)","36,934 ±5,639","27,926 ±4,904","05:30 (01:21)","Alientrap","Alientrap"
"500","Death Goat","Jun 7, 2016","$2","59% (85%)","36,934 ±5,639","24,322 ±4,576","04:28 (03:58)","Terminal Press","Terminal Press"
"560","RPG Tycoon","Feb 12, 2016","$9.99","17% (61%)","36,934 ±5,639","34,231 ±5,429","03:28 (01:57)","Skatanic Studios","GSProductions Ltd."
"305","Bounty Train","May 16, 2017","$24.99","33% (73%/66%)","36,709 ±5,622","32,430 ±5,284","19:58 (07:21)","Corbie Games","Daedalic Entertainment"
"549","TRIP Steam Edition","Jun 19, 2015","$1.99","N/A (N/A)","36,709 ±5,622","4,729 ±2,018","00:06 (00:07)","Axel Shokk","Axel Shokk"
"113","Oriental Empires","Sep 14, 2017","$29.99","47% (80%)","36,484 ±5,605","31,754 ±5,229","15:37 (06:15)","Shining Pixel Studios","Iceberg Interactive"
"314","Infectonator : Survivors","Aug 8, 2016","$9.99","26% (68%)","36,484 ±5,605","33,781 ±5,393","08:18 (03:11)","Toge Productions","Toge Productions"
"838","VR Battle Grid","Nov 8, 2016","Free","N/A (N/A)","36,258 ±5,588","8,558 ±2,714","00:27 (00:15)","Fred Sauer","Fred Sauer"
"403","Angels Fall First","Oct 1, 2015","$17.99","49% (81%)","36,033 ±5,570","34,006 ±5,411","07:23 (02:33)","Strangely Interactive Ltd","Strangely Interactive Ltd"
"489","WARSHIFT","Oct 12, 2016","$12.99","39% (76%)","36,033 ±5,570","29,953 ±5,079","01:41 (00:54)","Cyril Megem","Nominia Ltd"
"817","CrazyCars3D","Jun 14, 2016","$2.99","22% (65%)","36,033 ±5,570","30,628 ±5,136","03:12 (03:24)","Anea_Duo_Dev","Anea_Duo_Dev"
"944","Montas","Mar 24, 2014","$9.99","6% (45%)","36,033 ±5,570","6,756 ±2,412","00:49 (00:32)","Organic Humans","Organic Humans"
"945","Cosmochoria","Apr 27, 2015","$9.99","71% (89%)","36,033 ±5,570","25,448 ±4,681","04:45 (02:59)","Nate Schmold","30/30"
"633","The Next Penelope","May 29, 2015","$12.99","49% (81%/82%)","35,808 ±5,553","12,837 ±3,325","01:27 (00:36)","Aurelien Regard","Plug In Digital"
"245","Woodle Tree 2: Worlds","Sep 16, 2016","$3.99","16% (60%)","35,583 ±5,535","28,376 ±4,943","03:34 (04:14)","Fabio Ferrara","Chubby Pixel"
"892","Krautscape","Feb 24, 2016","$7.99","35% (74%)","35,583 ±5,535","14,638 ±3,550","01:01 (00:25)","Mario von Rickenbach, Playables","Midnight City, Majesco Entertainment"
"129","Stash","Sep 7, 2017","Free","28% (70%)","35,358 ±5,518","25,899 ±4,722","03:06 (00:24)","Frogdice","Frogdice"
"172","Serious Sam VR: The Last Hope","Sep 20, 2017","$39.99","62% (86%)","34,907 ±5,483","29,953 ±5,079","10:51 (02:39)","Croteam VR","Devolver Digital, Croteam"
"273","Party Panic","Aug 7, 2017","$16.99","37% (75%)","34,907 ±5,483","33,556 ±5,375","03:10 (01:54)","Everglow Interactive Inc.","Everglow Interactive Inc."
"729","Nightside","Aug 6, 2015","$13.99","12% (55%)","34,682 ±5,465","24,322 ±4,576","03:26 (03:07)","OMNIDREAM CREATIONS","OMNIDREAM CREATIONS"
"893","Hover","May 31, 2017","$19.99","62% (86%/69%)","34,457 ±5,447","28,601 ±4,963","06:58 (01:55)","Midgar Studio, Fusty Game","Playdius, Plug In Digital"
"268","The Black Watchmen","Aug 27, 2015","$9.99","71% (89%)","34,006 ±5,411","22,521 ±4,404","13:49 (04:01)","Alice & Smith","Alice & Smith"
"272","Dungeon Warfare","Nov 4, 2015","$3.39","97% (97%)","34,006 ±5,411","28,601 ±4,963","13:36 (05:51)","Valsar","Valsar"
"280","The Last Door: Season 2 - Collector's Edition","Mar 29, 2016","$9.99","92% (95%/85%)","34,006 ±5,411","14,638 ±3,550","06:35 (03:39)","The Game Kitchen","Phoenix Online Publishing"
"641","Orange Moon","Sep 27, 2017","$6.69","N/A (N/A)","34,006 ±5,411","16,665 ±3,788","03:43 (03:23)","Betelgeuse Zero","Meridian4"
"209","Candy Machine","Apr 24, 2017","$2.69","N/A (N/A)","33,331 ±5,357","31,754 ±5,229","04:28 (04:31)","Colossal Wreck","Colossal Wreck"
"342","Project Nimbus","Sep 26, 2017","$11.24","71% (89%)","33,331 ±5,357","28,376 ±4,943","02:28 (01:23)","GameCrafterTeam","KISS ltd, GameTomo"
"349","Deadly Hunter VR","Jun 19, 2017","Free","71% (89%)","33,331 ±5,357","21,169 ±4,269","00:42 (00:14)","Leiting Interactive","Leiting Interactive"
"323","Dinosaur Forest","May 17, 2017","$1.99","13% (56%)","32,205 ±5,266","17,341 ±3,864","02:33 (02:07)","Racing Bros","ANPA.US"
"279","Crash Force","Jul 14, 2017","$9.99","N/A (N/A)","31,754 ±5,229","24,773 ±4,619","03:08 (03:05)","Ascanio Entertainment","Ascanio Entertainment"
"419","Pro Gamer Manager","Apr 28, 2016","$9.99","9% (50%)","31,079 ±5,173","27,926 ±4,904","08:18 (05:36)","Raptor Claw Games","501 Industries"
"807","0RBITALIS","May 28, 2015","$9.99","37% (75%/73%)","31,079 ±5,173","19,143 ±4,060","03:21 (00:50)","Alan Zucconi","Mastertronic"
"784","Bitdude","May 16, 2017","Free","N/A (N/A)","30,853 ±5,154","14,638 ±3,550","00:06 (00:01)","Will Mearns","Wicked Manatee Games"
"594","VR Journey","Dec 15, 2016","$2.99","N/A (N/A)","30,403 ±5,117","23,422 ±4,491","04:18 (04:28)","Nova Dimension, Recreat4","Nova Dimension"
"387","Out of Ammo","Sep 14, 2016","$14.99","65% (87%)","30,178 ±5,098","27,475 ±4,864","02:37 (01:18)","RocketWerkz","RocketWerkz"
"649","Autocraft","Sep 20, 2017","$9.99","15% (59%)","29,953 ±5,079","24,773 ±4,619","06:17 (02:00)","Alientrap","Alientrap"
"695","BanHammer","Dec 22, 2015","$2.99","N/A (N/A)","29,953 ±5,079","19,593 ±4,107","04:15 (03:16)","Storm Sharks","Storm Sharks"
"366","The Sandbox","Jun 29, 2015","$4.99","17% (61%)","29,727 ±5,059","23,422 ±4,491","08:38 (03:24)","PIXOWL INC.","PIXOWL INC."
"726","Tango Fiesta","Sep 24, 2015","$9.99","N/A (N/A)","29,727 ±5,059","8,558 ±2,714","01:30 (00:35)","Spilt Milk Studios Ltd","Spilt Milk Studios Ltd"
"810","KWAAN","Jan 21, 2016","$9.99","19% (62%)","29,727 ±5,059","7,657 ±2,568","02:03 (00:56)","Ankama Canada","Ankama Games"
"367","Screeps","Nov 16, 2016","$14.99","71% (89%)","29,502 ±5,040","27,475 ±4,864","52:32 (09:28)","Screeps","Screeps"
"210","Black Ink","Feb 8, 2016","$59.99","74% (90%)","29,277 ±5,021","28,827 ±4,982","17:58 (02:49)","Bleank","Bleank"
"345","Earth Overclocked","Dec 4, 2015","$4.99","86% (93%)","29,277 ±5,021","15,314 ±3,631","02:19 (02:26)","Chronicle Bench","Chronicle Bench"
"417","Dungeon Rushers","Sep 6, 2016","$14.99","35% (74%)","29,277 ±5,021","26,800 ±4,804","05:44 (02:29)","Goblinz Studio","Goblinz Studio, WhisperGames"
"217","Subterrain","Jan 21, 2016","$16.99","62% (86%)","29,052 ±5,002","25,674 ±4,702","11:57 (02:27)","Pixellore","Pixellore"
"774","Epic Showdown","Oct 27, 2015","$4.99","N/A (N/A)","28,827 ±4,982","2,477 ±1,460","00:10 (00:13)","Naloki","Naloki"
"994","Watch This!","Sep 23, 2016","$3.99","33% (73%)","28,827 ±4,982","20,494 ±4,201","01:42 (00:58)","CivilSavages","CivilSavages, AEY Inc."
"766","Evolution VR","Feb 3, 2017","$9.99","N/A (N/A)","28,601 ±4,963","15,314 ±3,631","00:48 (00:19)","Magic Tavern","Magic Tavern"
"776","Seraph","Sep 20, 2016","$12.99","62% (86%/80%)","28,601 ±4,963","16,665 ±3,788","06:50 (03:19)","Dreadbit","Dreadbit"
"917","Warriors' Wrath","May 26, 2016","$2.99","N/A (N/A)","28,601 ±4,963","20,944 ±4,247","03:50 (03:55)","Storm Sharks Production","Storm Sharks Production"
"728","Zotrix","Jul 24, 2015","$12.99","2% (32%)","28,376 ±4,943","20,269 ±4,178","03:04 (02:55)","ZeroBit Games","Ocean Media LLC"
"176","Book of Demons","Jul 28, 2016","$13.99","92% (95%)","28,151 ±4,923","25,899 ±4,722","09:28 (03:47)","Thing Trunk","Thing Trunk"
"670","Habitat","Jan 26, 2016","$14.99","5% (42%)","28,151 ±4,923","22,746 ±4,426","04:04 (01:09)","4gency","Versus Evil"
"521","Warlocks vs Shadows","Aug 19, 2015","$13.99","21% (64%/68%)","27,926 ±4,904","19,593 ±4,107","04:06 (02:54)","Frozen District","ONE MORE LEVEL"
"968","Racecraft","Mar 4, 2016","$19.99","N/A (N/A)","27,700 ±4,884","2,477 ±1,460","00:38 (00:32)","Vae Victis Games","Vae Victis Games"
"33","Killer Elite Time to Die","Apr 28, 2017","$7.99","N/A (N/A)","27,475 ±4,864","25,223 ±4,660","05:51 (06:29)","Wioleta Moniuszko","WRGenesis"
"301","Armed with Wings: Rearmed","Jun 1, 2017","$9.99","77% (91%)","27,025 ±4,824","18,017 ±3,939","02:46 (02:10)","Sun-Studios","Sun-Studios"
"791","Hearthlands","Apr 28, 2017","$19.99","59% (85%)","27,025 ±4,824","21,620 ±4,315","11:07 (02:44)","Sergio & Simon","Sergio & Simon"
"957","Noob Squad","Oct 5, 2016","$0.99","4% (39%)","26,800 ±4,804","17,341 ±3,864","03:47 (02:58)","Antonio Renna","Antonio Renna"
"153","Nova Blitz","Jul 11, 2017","Free","26% (68%)","26,574 ±4,784","11,936 ±3,206","39:24 (00:28)","Dragon Foundry","Dragon Foundry, Hashbang Games"
"496","Frozen State","Aug 5, 2016","$11.99","32% (72%)","26,574 ±4,784","22,070 ±4,359","06:05 (00:48)","Flox Studios Ltd.","Flox Studios Ltd."
"568","After The End: The Harvest","Jun 2, 2017","$4.99","N/A (N/A)","26,574 ±4,784","10,134 ±2,954","04:44 (05:13)","Elushis","Elushis"
"630","Captain Forever Remix","Jun 3, 2016","$14.99","62% (86%)","26,574 ±4,784","24,097 ±4,555","05:16 (01:58)","Pixelsaurus Games, Future Crayon","Pixelsaurus Games"
"330","Verdict Guilty -","Jun 13, 2016","$0.59","51% (82%)","26,349 ±4,763","18,467 ±3,988","02:24 (01:53)","Retro Army Limited","Retro Army Limited"
"988","Gem Wars: Attack of the Jiblets","Dec 14, 2015","Free","N/A (N/A)","26,349 ±4,763","15,089 ±3,604","04:21 (04:18)","Queen Birdface Productions","Queen Birdface Productions"
"225","Sky Rogue","Aug 24, 2017","$19.99","82% (92%)","25,899 ±4,722","23,872 ±4,534","08:24 (02:12)","Fractal Phase","Fractal Phase"
"370","Gynophobia","Jul 31, 2015","$3.99","20% (63%)","25,899 ±4,722","17,116 ±3,839","02:05 (01:57)","Andrii Vintsevych","Andrii Vintsevych"
"1041","SLIVER.tv","Aug 9, 2017","Free","N/A (N/A)","25,899 ±4,722","7,882 ±2,605","00:15 (00:04)","SLIVER.tv","SLIVER.tv"
"320","Clandestine","Nov 5, 2015","$4.99","45% (79%/69%)","25,674 ±4,702","20,043 ±4,154","04:11 (02:53)","Logic Artists","Logic Artists"
"324","I am Weapon: Revival","Oct 23, 2015","$15.99","15% (58%)","25,674 ±4,702","17,566 ±3,889","02:29 (01:53)","Krealit","Krealit"
"599","Survivor Squad: Gauntlets","Nov 16, 2015","$1.24","24% (67%)","25,674 ±4,702","10,810 ±3,051","03:26 (02:54)","Endless Loop Studios","Endless Loop Studios"
"646","Knightfall: Rivals","Jul 20, 2017","Free","15% (58%)","25,674 ±4,702","13,062 ±3,354","00:45 (00:10)","Behaviour Interactive Inc.","Behaviour Interactive Inc."
"537","Pharaonic","Apr 28, 2016","$14.99","47% (80%)","25,448 ±4,681","6,531 ±2,371","04:04 (02:52)","Milkstone Studios","Milkstone Studios"
"448","Once Bitten, Twice Dead!","Jul 7, 2015","$4.99","N/A (N/A)","25,223 ±4,660","13,512 ±3,411","03:05 (03:42)","Gamestarters","Gamestarters Publisher, Gamestarter's"
"617","room13","Jan 13, 2017","$7.99","N/A (N/A)","25,223 ±4,660","5,855 ±2,245","03:13 (01:00)","The Paper Robot","Clickteam"
"718","Adventurezator: When Pigs Fly","Sep 17, 2015","$19.99","N/A (N/A)","24,998 ±4,640","14,413 ±3,523","04:43 (01:34)","Pigasus Games","Degica"
"640","HERO DEFENSE","May 31, 2016","Free","39% (76%)","24,773 ±4,619","21,169 ±4,269","06:42 (03:31)","Happy Tuesday","Happy Tuesday"
"752","Into the Stars","Mar 4, 2016","$19.99","5% (42%/61%)","24,773 ±4,619","18,917 ±4,036","02:14 (01:37)","Fugitive Games","Iceberg Interactive"
"1005","Tomb of Tyrants","Jun 25, 2015","$7.99","59% (85%)","24,322 ±4,576","15,990 ±3,711","05:24 (02:42)","Jake Huhman","Jake Huhman"
"385","Waste Walkers","Jun 1, 2015","$9.99","62% (86%)","24,097 ±4,555","16,891 ±3,814","02:37 (02:20)","Corrosive Studios LLC","Corrosive Studios LLC"
"545","Entropy","Feb 3, 2017","$9.99","2% (32%)","23,872 ±4,534","22,746 ±4,426","05:47 (01:46)","Artplant","Artplant"
"231","Xbird","May 1, 2017","$0.99","45% (79%)","23,647 ±4,512","17,566 ±3,889","03:35 (01:40)","Alexey Glinskiy","Alexey Glinskiy"
"887","Climbtime","May 3, 2017","Free","N/A (N/A)","23,647 ±4,512","9,459 ±2,854","00:11 (00:06)","Saluda Systems","Saluda Systems"
"262","Dwarflings","Mar 16, 2017","$3.99","N/A (N/A)","23,422 ±4,491","20,719 ±4,224","04:13 (04:30)","Starwind Games","Starwind Games"
"297","Serious Sam VR: The First Encounter","Mar 30, 2017","$39.99","51% (82%)","23,422 ±4,491","21,169 ±4,269","06:49 (00:43)","Croteam VR","Devolver Digital, Croteam"
"357","StarCrawlers","May 23, 2017","$19.99","74% (90%)","23,422 ±4,491","20,494 ±4,201","13:32 (07:18)","Juggernaut Games","Juggernaut Games"
"380","Nevermind","Sep 29, 2015","$4.99","28% (70%)","23,422 ±4,491","12,837 ±3,325","03:42 (02:42)","Flying Mollusk","Flying Mollusk"
"625","In Case of Emergency, Release Raptor","Aug 29, 2016","Free","N/A (N/A)","23,422 ±4,491","3,153 ±1,647","00:10 (00:08)","Arcen Games, LLC","Arcen Games, LLC"
"80","Runeyana","Mar 21, 2017","$8.99","N/A (N/A)","23,196 ±4,469","18,467 ±3,988","05:33 (06:28)","Blackturn Ltd","Blackturn Ltd"
"706","Boogeyman","Nov 2, 2015","$7.99","57% (84%)","22,971 ±4,447","18,467 ±3,988","01:47 (01:01)","Barry McCabe","Clockwork Wolf"
"212","Jack Nicklaus Perfect Golf","May 3, 2016","$34.99","20% (63%)","22,746 ±4,426","22,296 ±4,382","35:29 (05:31)","PERFECT PARALLEL","Perfect.Golf, Inc."
"281","Linkrealms","May 19, 2016","Free","20% (63%)","22,746 ±4,426","11,260 ±3,114","01:35 (00:28)","Mythyn Interactive","Mythyn Interactive"
"561","Galactic Inheritors","Jun 9, 2015","$19.99","N/A (N/A)","22,746 ±4,426","11,711 ±3,175","03:37 (03:39)","Crispon Games","Plug In Digital, Argonauts Interactive"
"845","Ascent - The Space Game","Apr 11, 2016","$19.99","33% (73%)","22,521 ±4,404","11,260 ±3,114","40:41 (14:28)","Fluffy Kitten Studios","Fluffy Kitten Studios"
"199","- Red Obsidian Remnant","Sep 4, 2017","$8.99","86% (93%)","22,296 ±4,382","20,719 ±4,224","11:32 (04:31)","Red Obsidian Studio","Beijing New Era Network Technology Co., Ltd."
"249","Three Days","May 19, 2017","$4.99","N/A (N/A)","22,296 ±4,382","15,990 ±3,711","02:57 (02:49)","Lewis Bergin, GorePixelGames","Lewis Bergin"
"437","Parcel","Apr 22, 2015","$4.99","86% (93%)","22,296 ±4,382","14,188 ±3,495","02:49 (03:03)","Polar Bunny Ltd","Polar Bunny Ltd"
"553","Catch Me","Sep 5, 2016","$5.99","47% (80%)","22,296 ±4,382","19,818 ±4,131","03:56 (02:11)","ZuoBuLaiGame","ZuoBuLaiGame"
"701","Machine Hunt","May 15, 2017","$2.99","11% (53%)","22,296 ±4,382","12,386 ±3,266","01:57 (01:51)","Racing Bros","ANPA.US"
"270","Ahnayro: The Dream World","Dec 1, 2016","$1.24","86% (93%)","22,070 ±4,359","5,630 ±2,202","07:07 (02:09)","Alice & Smith","Alice & Smith"
"769","Kings of Kung Fu","Jun 25, 2015","$9.99","21% (64%)","22,070 ±4,359","17,116 ±3,839","01:47 (00:39)","Jae Lee Productions","Digital Tribe"
"825","DubWars","Jul 19, 2016","$9.99","54% (83%)","22,070 ±4,359","12,161 ±3,236","01:51 (00:47)","MURA Interactive","WOBBL3 Entertainment LLC"
"407","Legend of Merchant","Dec 16, 2016","$1.99","47% (80%)","21,845 ±4,337","20,269 ±4,178","10:06 (02:55)","疯王子","疯王子中二集团总部"
"780","Blight of the Immortals","Oct 25, 2016","Free","N/A (N/A)","21,845 ±4,337","3,603 ±1,761","03:08 (00:52)","Iron Helmet Games","Iron Helmet Games"
"842","Adventures of Pip","Jun 4, 2015","$14.99","71% (89%/72%)","21,845 ±4,337","11,035 ±3,082","03:24 (01:39)","TicToc Games","TicToc Games"
"908","Boss Monster","Apr 28, 2016","$4.99","15% (58%)","21,845 ±4,337","19,368 ±4,084","04:07 (01:41)","Plain Concepts Corp","Plain Concepts Corp"
"1003","Infinite Space III: Sea of Stars","Oct 29, 2015","$9.99","N/A (N/A)","21,845 ±4,337","11,711 ±3,175","03:10 (02:39)","Digital Eel","Digital Eel"
"463","The Battle of Sol","Jul 1, 2015","$9.99","N/A (N/A)","21,620 ±4,315","5,630 ±2,202","01:05 (00:48)","Bit Planet Games, LLC","Bit Planet Games, LLC"
"721","Pixel Survivors","May 5, 2016","$3.99","21% (64%)","21,620 ±4,315","16,440 ±3,762","02:34 (02:10)","Sachonski, Renamilanesi, Sith","Patagoniart"
"867","GIGA WRECKER","Feb 6, 2017","$19.99","65% (87%)","21,620 ±4,315","16,891 ±3,814","05:53 (02:59)","GAME FREAK inc.","GAME FREAK inc."
"275","MX vs. ATV Supercross Encore","Oct 27, 2015","$29.99","9% (50%)","21,395 ±4,292","18,917 ±4,036","27:03 (07:03)","Rainbow Studios, THQ Nordic","THQ Nordic"
"913","Planet R-12","May 5, 2016","$4.99","51% (82%)","21,395 ±4,292","13,738 ±3,439","03:57 (03:22)","Timushev Vladimir, Composer-Motorin Dmitry (Djinotan)","Timushev Vladimir"
"737","Last Hope - Tower Defense","Apr 13, 2016","$8.99","57% (84%)","21,169 ±4,269","9,459 ±2,854","11:46 (04:58)","JE Software","JE Software"
"750","Distant Star: Revenant Fleet","Apr 7, 2015","$9.99","16% (60%)","21,169 ±4,269","16,440 ±3,762","04:43 (01:58)","Blazing Griffin Ltd.","Blazing Griffin Ltd."
"841","Worlds of Magic","Mar 19, 2015","$24.99","5% (41%/52%)","21,169 ±4,269","18,242 ±3,963","16:33 (01:36)","Wastelands Interactive","Wastelands Interactive"
"920","Death's Hangover","Jan 20, 2017","$4.99","86% (93%)","21,169 ±4,269","14,188 ±3,495","03:02 (02:31)","Retro Army Limited","Retro Army Limited"
"977","Color Syndrome","Aug 1, 2016","$0.99","N/A (N/A)","21,169 ±4,269","17,566 ±3,889","06:10 (04:04)","Thrill Pill Games","Thrill Pill Games"
"562","Grass Simulator","Apr 1, 2015","$4.99","17% (61%)","20,944 ±4,247","17,341 ±3,864","04:23 (01:13)","Daniel Davies","Daniel Davies"
"910","Zombie Party","Jun 10, 2016","$9.99","47% (80%)","20,944 ±4,247","15,764 ±3,684","05:45 (03:02)","Peach Pie Productions","Peach Pie Productions, Black Shell Media"
"1023","Block Story","Dec 10, 2015","$2.99","16% (60%)","20,944 ±4,247","11,711 ±3,175","08:17 (01:11)","MindBlocks Studio, LLC","MindBlocks Studio, LLC"
"446","Hydraulic Empire","Jul 31, 2015","$1.99","N/A (N/A)","20,719 ±4,224","13,287 ±3,382","04:10 (04:17)","Batholith Entertainment","Batholith Entertainment"
"471","The Land Of Lamia","Nov 23, 2015","$4.99","N/A (N/A)","20,719 ±4,224","11,035 ±3,082","03:17 (03:23)","Eddy Games","Eddy Games"
"991","Krai Mira: Extended Cut","Jul 11, 2016","$6.49","15% (58%/50%)","20,494 ±4,201","4,955 ±2,065","05:33 (01:52)","TallTech studio","IMGN.PRO"
"230","Star Merc","Feb 10, 2017","$1.99","N/A (N/A)","20,269 ±4,178","15,314 ±3,631","03:13 (03:20)","D247 Games","New Worlds Games"
"873","Clockwork Empires","Oct 26, 2016","$29.99","8% (48%/58%)","20,269 ±4,178","19,593 ±4,107","16:53 (05:16)","Gaslamp Games, Inc.","Gaslamp Games, Inc."
"654","Kick Ass Commandos","Nov 17, 2016","$4.99","86% (93%)","19,818 ±4,131","11,486 ±3,145","03:10 (02:53)","Anarchy Enterprises","Anarchy Enterprises"
"415","Man O' War: Corsair - Warhammer Naval Battles","Apr 19, 2017","$20.09","28% (70%)","19,593 ±4,107","17,341 ±3,864","07:43 (04:18)","Evil Twin Artworks","Evil Twin Artworks"
"435","Theme Park Studio","Dec 2, 2016","$29.99","7% (47%)","19,593 ±4,107","18,467 ±3,988","09:29 (01:11)","Pantera Entertainment","Pantera Entertainment"
"529","ALPAGES : THE FIVE BOOKS","Oct 23, 2015","$0.99","7% (46%)","19,593 ±4,107","3,153 ±1,647","00:15 (00:13)","Nicolas Bernard","Microids Indie"
"534","Runes of Brennos","Oct 16, 2015","$4.99","N/A (N/A)","19,593 ±4,107","9,684 ±2,888","02:47 (02:13)","LuGus Studios","LuGus Studios"
"834","Cosmic Trip","Nov 3, 2016","$19.99","77% (91%)","19,143 ±4,060","16,440 ±3,762","01:25 (00:58)","Funktronic Labs","Funktronic Labs"
